               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087307,            0.053185,            0.049984,             0.50296,             0.27437,             0.20509,            0.070415,            0.061261,            0.032344,            0.033255,              0.0018,              0.0018,              0.0838
                   1,            0.063095,            0.048508,            0.024197,             0.55192,             0.46337,             0.39738,             0.16056,            0.053247,            0.028189,            0.013452,           0.0036099,           0.0036099,             0.06751
                   2,            0.058759,            0.046169,            0.013793,             0.48806,             0.43661,             0.36365,             0.15177,            0.055433,            0.026798,           0.0088319,           0.0054194,           0.0054194,            0.051219
                   3,            0.059177,            0.045361,            0.011717,             0.64512,             0.50307,              0.4965,             0.23024,            0.049271,            0.027527,           0.0084164,           0.0072281,           0.0072281,            0.034928
                   4,            0.054687,            0.045869,            0.010218,             0.62406,             0.46304,             0.45893,             0.20919,            0.049408,            0.030827,           0.0099986,           0.0090358,           0.0090358,            0.018636
                   5,            0.052871,            0.047399,            0.010259,             0.67623,             0.41377,             0.44024,             0.20792,            0.051072,            0.031555,            0.015491,           0.0099927,           0.0099927,           0.0099927
                   6,            0.051682,            0.046936,           0.0092459,             0.62553,             0.56703,             0.56904,             0.27273,            0.045187,            0.027224,           0.0051888,           0.0099927,           0.0099927,           0.0099927
                   7,            0.049881,            0.046251,           0.0079726,               0.638,             0.56899,             0.59023,             0.26457,            0.046525,            0.026867,           0.0049314,           0.0099894,           0.0099894,           0.0099894
                   8,            0.048953,             0.04591,           0.0074475,             0.70897,             0.60188,             0.65159,              0.3277,            0.042807,            0.025173,           0.0038868,           0.0099856,           0.0099856,           0.0099856
                   9,            0.047514,            0.044318,           0.0064489,             0.70289,             0.63986,             0.67026,             0.33863,             0.04172,            0.025009,           0.0036191,           0.0099812,           0.0099812,           0.0099812
                  10,            0.046668,            0.043207,           0.0060938,             0.68801,             0.67399,             0.69859,             0.35889,            0.041257,            0.024995,           0.0030046,           0.0099762,           0.0099762,           0.0099762
                  11,             0.04605,            0.042975,           0.0056231,              0.7053,             0.67726,             0.70526,             0.36124,            0.040652,            0.024299,           0.0027248,           0.0099707,           0.0099707,           0.0099707
                  12,            0.045536,            0.042814,           0.0053064,             0.72078,             0.68345,             0.72475,             0.37566,            0.040279,            0.023519,           0.0023253,           0.0099645,           0.0099645,           0.0099645
                  13,            0.044805,             0.04198,           0.0051726,             0.76512,             0.69615,             0.74663,             0.39666,            0.039298,            0.023128,           0.0020712,           0.0099578,           0.0099578,           0.0099578
                  14,            0.044456,            0.041444,           0.0051574,             0.73581,             0.65806,             0.72052,             0.36901,            0.040388,            0.024171,           0.0023943,           0.0099505,           0.0099505,           0.0099505
