               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084309,            0.094658,            0.050625,             0.83117,             0.11921,             0.10133,            0.038432,              0.0666,            0.057328,            0.030923,             0.00321,             0.00321,             0.07111
                   1,            0.067087,            0.086734,             0.02498,             0.51711,             0.33387,             0.22014,            0.082195,            0.065106,            0.050084,            0.017826,           0.0064297,           0.0064297,             0.04213
                   2,            0.065203,            0.080991,             0.01829,             0.69181,             0.30047,             0.31628,             0.12702,            0.059485,            0.047781,            0.012214,           0.0096482,           0.0096482,            0.013148
                   3,            0.059356,             0.07988,            0.014709,             0.71864,              0.3769,             0.39432,             0.18048,            0.054571,            0.048021,             0.01011,           0.0099959,           0.0099959,           0.0099959
                   4,            0.054148,             0.08197,            0.012622,             0.79682,             0.40556,             0.45159,             0.22901,            0.049757,            0.047629,           0.0085832,           0.0099959,           0.0099959,           0.0099959
                   5,             0.05016,            0.078657,            0.011162,             0.82324,              0.4456,             0.50538,             0.25684,            0.046896,            0.046094,           0.0073339,           0.0099927,           0.0099927,           0.0099927
                   6,            0.048302,            0.077497,            0.009937,             0.83773,             0.48919,             0.53667,              0.2859,            0.042759,            0.045482,           0.0064287,           0.0099885,           0.0099885,           0.0099885
                   7,            0.048038,            0.076995,           0.0094831,              0.8588,             0.50788,             0.55685,             0.29095,            0.041095,            0.044254,           0.0060619,           0.0099835,           0.0099835,           0.0099835
                   8,            0.045563,            0.075215,           0.0089901,              0.8547,             0.51327,             0.56041,             0.28905,            0.041544,            0.043368,           0.0053758,           0.0099775,           0.0099775,           0.0099775
                   9,            0.044977,            0.075599,            0.007882,             0.88442,             0.52068,             0.58438,              0.3458,            0.040323,            0.041402,           0.0052601,           0.0099707,           0.0099707,           0.0099707
                  10,            0.043478,            0.073055,           0.0078621,             0.89567,             0.53391,             0.61039,                0.35,            0.040298,              0.0405,           0.0046586,           0.0099629,           0.0099629,           0.0099629
                  11,            0.044266,            0.070775,           0.0076696,              0.8853,             0.55437,             0.61158,             0.35811,            0.037523,            0.041558,           0.0046456,           0.0099542,           0.0099542,           0.0099542
                  12,             0.04246,            0.070412,            0.007581,             0.89904,             0.56865,             0.62581,             0.37978,            0.036977,            0.039965,           0.0044996,           0.0099446,           0.0099446,           0.0099446
                  13,            0.041148,            0.071799,           0.0067073,             0.89958,             0.56506,             0.64336,             0.36309,            0.038164,            0.039158,            0.004212,           0.0099341,           0.0099341,           0.0099341
                  14,            0.040977,            0.069516,           0.0068463,             0.90878,             0.57389,             0.66226,             0.40866,             0.03505,            0.038203,           0.0040944,           0.0099227,           0.0099227,           0.0099227
                  15,            0.040714,            0.068663,             0.00659,             0.91704,             0.58485,             0.68969,             0.41424,               0.035,            0.037306,           0.0038056,           0.0099104,           0.0099104,           0.0099104
