               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10529,            0.085584,            0.062478,            0.012717,            0.025483,           0.0075611,           0.0017049,            0.093562,            0.062386,            0.054457,             0.00048,             0.00048,             0.09568
                   1,            0.086183,            0.097616,            0.048252,             0.94418,            0.033672,            0.034861,            0.011584,            0.078466,             0.06309,            0.042628,          0.00096996,          0.00096996,             0.09127
                   2,            0.072004,             0.09411,            0.040492,             0.95669,            0.041204,            0.056082,            0.023295,            0.067571,            0.061688,             0.03649,           0.0014597,           0.0014597,             0.08686
                   3,            0.065525,            0.093005,            0.034102,             0.74295,              0.1123,              0.1209,            0.048816,            0.062151,            0.059316,             0.02796,           0.0019492,           0.0019492,            0.082449
                   4,            0.062777,            0.092999,            0.027244,             0.52698,             0.23692,             0.15599,            0.062471,            0.059559,            0.057949,            0.022551,           0.0024382,           0.0024382,            0.078038
                   5,            0.061568,            0.088125,            0.022942,             0.61634,             0.24009,             0.21845,             0.08505,            0.056944,            0.056605,            0.018764,           0.0029266,           0.0029266,            0.073627
                   6,            0.059897,             0.08903,             0.02029,             0.66887,             0.26183,             0.25635,             0.11196,            0.055794,              0.0545,            0.016797,           0.0034144,           0.0034144,            0.069214
                   7,            0.058067,            0.084981,            0.018471,             0.64921,              0.3306,             0.31643,              0.1485,            0.052392,            0.053741,            0.015057,           0.0039012,           0.0039012,            0.064801
                   8,            0.057887,            0.084396,             0.01629,             0.64601,              0.3405,             0.32582,             0.14543,            0.054166,            0.053027,            0.013809,           0.0043871,           0.0043871,            0.060387
                   9,            0.056129,            0.083975,            0.015432,             0.67234,             0.37381,             0.37111,             0.17414,            0.050884,            0.052344,            0.012151,           0.0048719,           0.0048719,            0.055972
                  10,            0.056139,            0.082044,            0.014173,             0.59783,              0.3683,             0.29619,             0.12522,            0.057702,            0.050128,            0.010869,           0.0053554,           0.0053554,            0.051555
                  11,            0.061384,            0.081219,            0.013723,             0.66219,             0.36015,             0.34661,             0.14925,            0.053451,            0.051549,            0.010579,           0.0058375,           0.0058375,            0.047137
                  12,            0.057445,            0.081762,            0.012536,               0.715,             0.40501,             0.39663,             0.19228,            0.050448,            0.050014,           0.0096111,           0.0063181,           0.0063181,            0.042718
                  13,            0.057762,            0.078859,            0.011915,             0.69444,             0.38517,              0.3833,             0.17463,            0.050862,            0.051709,            0.010241,            0.006797,            0.006797,            0.038297
                  14,            0.054947,             0.08115,             0.01166,             0.73448,             0.39568,             0.40178,              0.1941,             0.04857,            0.051171,           0.0098683,           0.0072742,           0.0072742,            0.033874
                  15,            0.053488,            0.080273,            0.011096,             0.77378,             0.36804,              0.4046,             0.19091,            0.052696,            0.053013,            0.010209,           0.0077495,           0.0077495,            0.029449
                  16,            0.053301,            0.078833,            0.010398,             0.75375,             0.40987,              0.4312,             0.20034,            0.049397,            0.052546,            0.008891,           0.0082227,           0.0082227,            0.025023
                  17,             0.05248,            0.079121,            0.010194,             0.77507,             0.41288,             0.43793,             0.20664,            0.048751,            0.050769,           0.0079287,           0.0086938,           0.0086938,            0.020594
                  18,            0.051038,            0.080615,           0.0093641,             0.80006,             0.44113,             0.47951,             0.24694,            0.046356,            0.050652,           0.0078261,           0.0091625,           0.0091625,            0.016163
                  19,            0.051559,             0.08082,           0.0095592,             0.84087,             0.43259,             0.49659,             0.25538,             0.04655,            0.050363,           0.0071347,           0.0096288,           0.0096288,            0.011729
                  20,            0.049666,            0.079852,           0.0096032,             0.82972,             0.44696,             0.50931,             0.26766,             0.04657,            0.051944,           0.0075937,           0.0098177,           0.0098177,           0.0098177
                  21,            0.050035,            0.079906,           0.0087464,             0.82628,             0.43134,             0.48555,             0.24929,            0.045864,            0.050949,           0.0077763,           0.0098177,           0.0098177,           0.0098177
                  22,             0.04897,            0.080035,           0.0088202,             0.82586,             0.44013,             0.48449,             0.25615,            0.044957,             0.05188,           0.0082818,           0.0097992,           0.0097992,           0.0097992
                  23,            0.048644,            0.078622,           0.0085832,              0.8228,             0.44332,             0.49563,              0.2667,            0.045688,            0.052637,           0.0073319,           0.0097798,           0.0097798,           0.0097798
                  24,              0.0477,            0.078374,           0.0081774,             0.79433,             0.38804,             0.42993,             0.21966,            0.046565,            0.055572,           0.0094747,           0.0097595,           0.0097595,           0.0097595
                  25,             0.04717,            0.076571,           0.0077309,             0.83714,             0.47443,             0.53022,             0.28254,             0.04392,            0.048204,           0.0063347,           0.0097383,           0.0097383,           0.0097383
